,byol_loss_b,byol_loss_e,vloss_e
0,4.380206108093262,0.45720982149827716,0.00624967971816659
1,3.678640365600586,,
2,3.027053117752075,,
3,2.4546518325805664,,
4,1.964949607849121,,
5,1.554144024848938,,
6,1.215303659439087,,
7,0.9418930411338806,,
8,0.7251250743865967,,
9,0.5561875104904175,,
10,0.4254964590072632,,
11,0.3261869549751282,,
12,0.2517485022544861,,
13,0.1967332810163498,,
14,0.15711700916290283,,
15,0.12930046021938324,,
16,0.1096419170498848,,
17,0.09667420387268066,,
18,0.08715419471263885,,
19,0.08059844374656677,,
20,0.07541268318891525,,
21,0.07087475806474686,,
22,0.06703492254018784,,
23,0.06273478269577026,,
24,0.05848802253603935,,
25,0.053470805287361145,,
26,0.049284834414720535,,
27,0.04449782893061638,,
28,0.040229279547929764,,
29,0.03632134571671486,,
30,0.03296864777803421,,
31,0.030054261907935143,,
32,0.02766166254878044,,
33,0.025423454120755196,,
34,0.023768829181790352,,
35,0.02250497415661812,,
36,0.02148468606173992,,
37,0.020649774000048637,,
38,0.019443657249212265,,
39,0.018690796568989754,,
40,0.01765153929591179,,
41,0.017959153279662132,,
42,0.017117587849497795,,
43,0.016434142366051674,,
44,0.01607084833085537,,
45,0.01554427295923233,,
46,0.014818275347352028,,
47,0.014630691148340702,,
48,0.013942652381956577,,
49,0.01372595876455307,,
50,0.01322129461914301,,
